LabID,Phylum,Order,Taxon_name,Average_weightloss(%)(Exp1),Average_decomposition(%)(Exp1),Average_hyphallength(m/g soil)(Exp1),Litter_type(Exp1),Glucose_use(Exp2),Cellobiose_use(Exp2),Xylan_use(Exp2),Cellulose_use(Exp2),Litter_use(Exp2),CCUA(Exp2),Alkaline_phosphatase(Exp3),Acid_phosphatase(Exp3),Esterase(Exp3),Lipase(Exp3),Leucine_arylamidase(Exp3),Valine_arylamidase(Exp3),Trypsin(Exp3),a_chymotrypsin(Exp3),Phosphohydrolase(Exp3),a_galactosidase(Exp3),b_galactosidase(Exp3),b_glucoronidase(Exp3),a_glucosidase(Exp3),b_glucosidase(Exp3),b_glucosaminidase(Exp3),a_mannosidase(Exp3),"NewAggregateFormation(Lehmann,2020)","DominanceIndex/Competitiveness(Lehmann,2020)","Colony_extension_rate(Lehmann,2020)","Palatability(Lehmann,2020)","Biomass_density(Zheng,2020)","Hydrophobicity(Zheng,2020)","Laccase(Zheng,2020)","Leucine_aminopeptidase(Zheng,2020)","Cellobiohydrolase(Zheng,2020)","Acid_phosphatase(Zheng,2020)"
RLCS01,Mucoromycota,Mucorales,Mucor_fragilis,4.98,0.11,11.8,wood,0.87185104,1,0.040963855,0,0.085870756,1.713174046,26.66666667,40,20,11.66666667,40,18.33333333,0,13.33333333,36.66666667,11.66666667,10,0,0,36.66666667,36.66666667,23.33333333,4.627273,98,372.7625,27.85999997,0.01984273,18.75,0.03293665,6.29495169,0.056353413,0.376240869
RLCS02,Mucoromycota,Mortierellales,Mortierella_elongata_strain_2,5.12,0.25,30.38,wood,1,0,0,0,0,1,40,40,13.33333333,3.333333333,40,5,0,5,40,0,0,0,0,40,40,26.66666667,6.845455,82,247.38,13.376736,0.05734796,16.25,0.01308673,1.15133925,0.001218679,0.801992148
RLCS03,Mucoromycota,Mortierellales,Mortierella_alpina_strain_1,3.6,-1.27,23.2,wood,1,0,0,0,0,1,40,40,8.333333333,0,40,16.66666667,0,8.333333333,33.33333333,0,0,0,0,0,33.33333333,0,7.672727,63,220.0375,32.051488,0.04586459,0,0.01352197,2.47937006,0.00161933,0.50861624
RLCS04,Mucoromycota,Mortierellales,Mortierella_exigua,5.13,0.26,31.21,wood,1,0,0,0,0,1,40,40,6.666666667,0,36.66666667,30,15,13.33333333,40,0,0,0,0,0,36.66666667,0,5.509091,46,215.1519,21.720486,0.04331407,0,0.01820371,1.31967146,0.00180503,0.228114297
RLCS05,Ascomycota,Hypocreales,Fusarium_sp.,6.22,1.35,31.54,wood,1,0.935919056,0.264755481,-0.001686341,0.103709949,1.818679314,18.33333333,26.66666667,5,1.666666667,20,1.666666667,0,0,26.66666667,0,0,0,0,11.66666667,15,0,6.545455,102,215.1519,18.17381,0.024524,0,0.06362616,1.21937846,0.053863078,1.495358485
RLCS06,Ascomycota,Sordariales,Chaetomium_angustispirale,64.43,59.56,13.72,wood,0.737588652,0.368794326,1,0.127659574,0.163120567,2.520511855,0,40,6.666666667,5,13.33333333,5,0,0,16.66666667,10,1.666666667,0,5,13.33333333,33.33333333,0,5.054545,86,198.463,5.599405,0.04211208,39.583333,0.03150982,0.59932651,0.02551797,0.237079807
RLCS07,Ascomycota,Xylariales,Amphisphaeriaceae_strain_1,5.83,0.96,40.43,wood,1,0.829989251,0.378179864,-0.02418488,-0.019527051,1.734028377,8.333333333,33.33333333,5,0,13.33333333,0,0,0,33.33333333,3.333333333,0,0,0,6.666666667,36.66666667,3.333333333,4.936364,102,196.82174,39.903125,0.05762619,51.666667,1.08198687,0.08654681,0.070921697,0.454798272
RLCS08,Ascomycota,Hypocreales,Gibberella_tricincta,7.73,2.86,33.35,wood,1,0.951367781,0.11550152,-0.009118541,-0.018237082,1.603399433,20,20,1.666666667,0,0,0,0,0,20,0,0,0,0,40,0,0,7.518182,94,183.00533,17.272569,0.06334718,4.583333,0.05932731,0.39476095,0.045706119,0.18531189
RLCS09,Basidiomycota,Polyporales,Trametes_versicolor,51.61,46.74,34.25,wood,1,0.726851852,0.252314815,-0.060185185,-0.12962963,1.750237417,23.33333333,40,13.33333333,1.666666667,30,1.666666667,0,0,40,0,0,0,0,36.66666667,16.66666667,0,6.009091,68,178.57833,21.728125,0.04449032,52.916667,2.50998181,1.18682158,0.03009099,1.824216505
RLCS10,Ascomycota,Pleosporales,Alternaria_alternata,10.31,5.44,29.14,wood,NA,NA,NA,NA,NA,NA,40,40,3.333333333,0,10,0,0,0,33.33333333,0,0,0,1.666666667,23.33333333,26.66666667,1.666666667,10.045455,79,152.36908,10.7875,0.08793936,16.25,0.84290794,0.46935426,0.044072149,0.046538013
